Fecha,PIB CÃ­clico,Consumo Total CÃ­clico
1996-03-01,-1.8190922495122663,-1.9656105599711537
1996-06-01,-1.7982362070301239,-1.7373709236645496
1996-09-01,-1.7742852640749707,-2.2866609455066467
1996-12-01,-1.3158376318616938,-1.749782252514187
1997-03-01,-0.03132191424417563,-0.9852395210968368
1997-06-01,1.0816482293831697,0.36587206452232124
1997-09-01,2.3837641467687742,2.3520357611465315
1997-12-01,3.5770324482744087,3.8296737445062234
1998-03-01,3.4848792117532668,4.346941979666852
1998-06-01,4.295302048464089,4.793875233480982
1998-09-01,2.7678303491971423,2.642745167261218
1998-12-01,-1.3628204640963926,-0.19200457517012381
1999-03-01,-2.1776363304300883,-0.9590231001748606
1999-06-01,-2.738749646176064,-2.026945413436998
1999-09-01,-1.4888866040681847,-0.3930501704985545
1999-12-01,0.2663676292308903,1.4280519909499745
2000-03-01,0.3530734001058633,0.8035473764589796
2000-06-01,-0.29013538339017764,0.2461125929164254
2000-09-01,0.37579393281803597,0.4942451426694916
2000-12-01,0.6491306993930746,0.23506633986460912
2001-03-01,0.43215180777389506,-0.04796068505417139
2001-06-01,0.4643315790849645,0.09146752951192383
2001-09-01,-0.7265883010302066,-1.0665870204716654
2001-12-01,-1.0864631241867873,-1.1819507953854114
2002-03-01,-1.2649130565125954,-1.0489830751758689
2002-06-01,-1.4992082446929178,-1.5751566056371402
2002-09-01,-1.4937001779403936,-1.3715287572674484
2002-12-01,-1.162761487433439,-2.5390388342950487
2003-03-01,-0.8970870717733614,-2.8323874168007634
2003-06-01,-1.0216526698840767,-3.011013957795683
2003-09-01,-1.5728226145849344,-2.8839407644712267
2003-12-01,-2.268065211361847,-2.253865295651636
2004-03-01,-1.4448719006402655,-1.5749910005544265
2004-06-01,-0.8219100390560286,-0.42903568146179794
2004-09-01,0.46704465272555673,0.11118053926537641
2004-12-01,0.7726405045777707,0.5944655625112816
2005-03-01,-0.4201432712675146,0.5839190266613059
2005-06-01,-0.07565186629556742,0.5182851073071149
2005-09-01,1.0328639871493461,1.0853836972025022
2005-12-01,0.9489607730015504,1.411640454496954
2006-03-01,0.5899488346517767,1.7988869626726967
2006-06-01,1.409418667257345,1.6159111565459128
2006-09-01,1.5548913511464146,1.6982656853334888
2006-12-01,2.4921866751888455,2.2562883130728295
2007-03-01,2.371858255544579,3.2879319884211
2007-06-01,2.2768912972278343,2.8300231630842276
2007-09-01,1.4787706399815193,1.8991714778563207
2007-12-01,2.300074688648701,2.3409863480393867
2008-03-01,3.373049549885243,2.0765761506028824
2008-06-01,2.4833328152483958,1.3885482758450252
2008-09-01,0.694084257973504,-1.0250848168855242
2008-12-01,-1.074053086300042,-2.9643021553738436
2009-03-01,-2.5229307458435546,-3.837515437767003
2009-06-01,-4.075762016742512,-5.786842884210763
2009-09-01,-3.869075982673875,-3.9126948573901643
2009-12-01,-3.6468422719391214,-4.211707723180602
2010-03-01,-4.343260825958595,-3.539729576698747
2010-06-01,-2.0437997620610826,-0.3675955616559534
2010-09-01,-0.7758830827545804,0.15532329331904293
2010-12-01,-0.6552223783532263,0.9389583681693736
2011-03-01,-0.5630034729320776,1.050557805489838
2011-06-01,-0.20189374737977772,1.3034332450800434
2011-09-01,-0.620707385535102,1.5093665423426827
2011-12-01,0.4862169614487044,1.1398372667555279
2012-03-01,1.496210864385361,0.8505053366013371
2012-06-01,2.3347307671118145,1.659957603039075
2012-09-01,2.1426214863811133,1.4678687494125597
2012-12-01,1.8039748434929948,2.001213179461736
2013-03-01,1.714048169749205,1.3623607101630242
2013-06-01,1.741117359454858,1.4767902760487672
2013-09-01,1.5573800232755453,1.4662419132781324
2013-12-01,1.0533046481459252,1.5001611655884872
2014-03-01,0.6413843927348672,0.8583766572519025
2014-06-01,0.7567902418929684,-0.029370899909686443
2014-09-01,-0.3538820780085494,-0.7694407300705919
2014-12-01,0.06478984097171292,-0.3720126527019474
2015-03-01,0.12851956984603063,-0.8731232770015751
2015-06-01,0.46200134935538983,-1.3137859113252048
2015-09-01,-0.4561225043861583,-1.1451921776327367
2015-12-01,-0.3756357941076871,-0.5731734844019343
2016-03-01,0.2705904492901645,-0.5184779382489069
2016-06-01,-0.7385733562216501,-0.8993131061371784
2016-09-01,-0.6062931368485458,0.18427059408328006
2016-12-01,-1.2934958288581377,-0.18933884093605968
2017-03-01,-2.377296623292402,0.22198553043040192
2017-06-01,-1.636635914030915,-0.39472981014174735
2017-09-01,-0.23759054013954284,0.27821994251144844
2017-12-01,-0.06179749939558832,0.7559245391144387
2018-03-01,0.47697049018182724,0.747818684799384
2018-06-01,1.3271381740448618,1.2503515330365644
2018-09-01,0.47306675159513034,0.3251334158393959
2018-12-01,1.2013242120426426,1.3872854611397756
2019-03-01,0.38673535451936303,0.44242188671788085
2019-06-01,1.082517615781331,0.7143236835853273
2019-09-01,0.7798713139957059,0.16518676998575899
2019-12-01,-3.6760285476947097,-5.5054137920077295

