Fecha,GDP,Price Level
1996-03-01,-1.8190922495122663,-0.12211541132730774
1996-06-01,-1.7982362070301239,0.05558296076752001
1996-09-01,-1.7742852640749707,0.04721131585674199
1996-12-01,-1.3158376318616938,0.08379233322866186
1997-03-01,-0.03132191424417563,0.014266319275649364
1997-06-01,1.0816482293831697,-0.1575567528940225
1997-09-01,2.3837641467687742,-0.13701284874586972
1997-12-01,3.5770324482744087,-0.043772989944642404
1998-03-01,3.4848792117532668,0.08119880284534098
1998-06-01,4.295302048464089,0.15986476130540983
1998-09-01,2.7678303491971423,0.23875394006038242
1998-12-01,-1.3628204640963926,0.3743206236939558
1999-03-01,-2.1776363304300883,0.3127493864655
1999-06-01,-2.738749646176064,0.20748900477349896
1999-09-01,-1.4888866040681847,-0.003545870458098843
1999-12-01,0.2663676292308903,-0.5535492175868336
2000-03-01,0.3530734001058633,-0.301822829340753
2000-06-01,-0.29013538339017764,-0.1643440383035496
2000-09-01,0.37579393281803597,-0.0987365172305178
2000-12-01,0.6491306993930746,0.1689836124568882
2001-03-01,0.43215180777389506,0.008053327412241407
2001-06-01,0.4643315790849645,-0.12995018472112496
2001-09-01,-0.7265883010302066,0.21647510243320534
2001-12-01,-1.0864631241867873,0.11343019324148118
2002-03-01,-1.2649130565125954,0.105701203679329
2002-06-01,-1.4992082446929178,0.1614080880605634
2002-09-01,-1.4937001779403936,-0.044443332437121064
2002-12-01,-1.162761487433439,0.17837626138086904
2003-03-01,-0.8970870717733614,0.28852081633152493
2003-06-01,-1.0216526698840767,0.3450346175107716
2003-09-01,-1.5728226145849344,0.18572346410927176
2003-12-01,-2.268065211361847,-0.310690658586007
2004-03-01,-1.4448719006402655,-1.0239368070945247
2004-06-01,-0.8219100390560286,-1.4867914495393038
2004-09-01,0.46704465272555673,-0.832111630630634
2004-12-01,0.7726405045777707,-0.4856140753554612
2005-03-01,-0.4201432712675146,-0.3483542357438889
2005-06-01,-0.07565186629556742,-0.10208090123595903
2005-09-01,1.0328639871493461,0.056441793695432785
2005-12-01,0.9489607730015504,0.14739052380812112
2006-03-01,0.5899488346517767,0.2974900447221204
2006-06-01,1.409418667257345,0.2874545397380859
2006-09-01,1.5548913511464146,0.15785815606246423
2006-12-01,2.4921866751888455,0.15864053031032332
2007-03-01,2.371858255544579,0.13777903663599633
2007-06-01,2.2768912972278343,0.3277405775695701
2007-09-01,1.4787706399815193,0.7726919654758189
2007-12-01,2.300074688648701,0.925454425686123
2008-03-01,3.373049549885243,1.066073437100704
2008-06-01,2.4833328152483958,1.216970171924979
2008-09-01,0.694084257973504,1.1671486390029546
2008-12-01,-1.074053086300042,1.2927937503649627
2009-03-01,-2.5229307458435546,1.323353154427438
2009-06-01,-4.075762016742512,1.0372005825786634
2009-09-01,-3.869075982673875,0.6382015287029565
2009-12-01,-3.6468422719391214,-0.36483081581218346
2010-03-01,-4.343260825958595,-5.048398967273732
2010-06-01,-2.0437997620610826,-5.022620265999263
2010-09-01,-0.7758830827545804,-0.8081942922993334
2010-12-01,-0.6552223783532263,-0.37015506485311117
2011-03-01,-0.5630034729320776,0.020243572344255945
2011-06-01,-0.20189374737977772,0.2624072892404906
2011-09-01,-0.620707385535102,0.14624352026054743
2011-12-01,0.4862169614487044,0.3972732929706997
2012-03-01,1.496210864385361,0.44447872699886304
2012-06-01,2.3347307671118145,0.31490705448938594
2012-09-01,2.1426214863811133,0.27276243335928196
2012-12-01,1.8039748434929948,0.1481606746907208
2013-03-01,1.714048169749205,-0.01337057081466575
2013-06-01,1.741117359454858,-0.13509610664458316
2013-09-01,1.5573800232755453,-0.09646068828062715
2013-12-01,1.0533046481459252,-0.0228844895548328
2014-03-01,0.6413843927348672,0.214241005439749
2014-06-01,0.7567902418929684,0.4105919812351171
2014-09-01,-0.3538820780085494,0.3783879173033744
2014-12-01,0.06478984097171292,0.37399734470759527
2015-03-01,0.12851956984603063,0.38913024919311856
2015-06-01,0.46200134935538983,0.36691563367677116
2015-09-01,-0.4561225043861583,0.4246647983151268
2015-12-01,-0.3756357941076871,0.4015390927152278
2016-03-01,0.2705904492901645,0.3278060484556091
2016-06-01,-0.7385733562216501,0.23877558983924985
2016-09-01,-0.6062931368485458,0.07884620182298585
2016-12-01,-1.2934958288581377,-0.053252057484610926
2017-03-01,-2.377296623292402,-0.10427809633618268
2017-06-01,-1.636635914030915,-0.1794192055641166
2017-09-01,-0.23759054013954284,-0.3016520216896901
2017-12-01,-0.06179749939558832,-0.2998037344433053
2018-03-01,0.47697049018182724,-0.3957948851046008
2018-06-01,1.3271381740448618,-0.2877797745997427
2018-09-01,0.47306675159513034,-0.1480290661013821
2018-12-01,1.2013242120426426,-0.08112723546545353
2019-03-01,0.38673535451936303,-0.07742601065417865
2019-06-01,1.082517615781331,-0.04247591124478334
2019-09-01,0.7798713139957059,0.036660754217275104
2019-12-01,-3.6760285476947097,0.1938268374274401
