Fecha,GDP,Money Balances
1996-03-01,-1.8190922495122663,-3.4737678360436064
1996-06-01,-1.7982362070301239,-3.3504929898347413
1996-09-01,-1.7742852640749707,-1.2031565451685822
1996-12-01,-1.3158376318616938,-1.3497466325933516
1997-03-01,-0.03132191424417563,-0.17873168776549875
1997-06-01,1.0816482293831697,2.3121467024962428
1997-09-01,2.3837641467687742,2.852678266117614
1997-12-01,3.5770324482744087,3.9666710870779553
1998-03-01,3.4848792117532668,1.769181546724674
1998-06-01,4.295302048464089,1.304488458979236
1998-09-01,2.7678303491971423,-0.10615476103073007
1998-12-01,-1.3628204640963926,-1.3972122656106478
1999-03-01,-2.1776363304300883,-2.0897293600910416
1999-06-01,-2.738749646176064,0.8785591163906759
1999-09-01,-1.4888866040681847,0.34811389894198186
1999-12-01,0.2663676292308903,0.6452897776389577
2000-03-01,0.3530734001058633,-0.8800914394148762
2000-06-01,-0.29013538339017764,-0.4335428759924653
2000-09-01,0.37579393281803597,-0.08119485126538706
2000-12-01,0.6491306993930746,0.9530327121201054
2001-03-01,0.43215180777389506,0.7090670641426655
2001-06-01,0.4643315790849645,1.2428741938260046
2001-09-01,-0.7265883010302066,2.043146076786151
2001-12-01,-1.0864631241867873,2.5335862092628503
2002-03-01,-1.2649130565125954,2.435567070098976
2002-06-01,-1.4992082446929178,1.665420168239784
2002-09-01,-1.4937001779403936,0.3602694533219264
2002-12-01,-1.162761487433439,0.10617089920756939
2003-03-01,-0.8970870717733614,0.4756901309669104
2003-06-01,-1.0216526698840767,-0.7990923116373949
2003-09-01,-1.5728226145849344,-1.6114002073635447
2003-12-01,-2.268065211361847,-2.8811221982721236
2004-03-01,-1.4448719006402655,-1.8737476095727956
2004-06-01,-0.8219100390560286,-2.9657425749970656
2004-09-01,0.46704465272555673,-1.3050361925619924
2004-12-01,0.7726405045777707,-1.2957393054669808
2005-03-01,-0.4201432712675146,-1.7065963262654193
2005-06-01,-0.07565186629556742,-0.3180146490967317
2005-09-01,1.0328639871493461,-2.0803202101948415
2005-12-01,0.9489607730015504,0.5216174452177924
2006-03-01,0.5899488346517767,-0.17423400059204397
2006-06-01,1.409418667257345,-0.9703799587558848
2006-09-01,1.5548913511464146,0.5042306001950436
2006-12-01,2.4921866751888455,0.9318470207386298
2007-03-01,2.371858255544579,2.082920646094877
2007-06-01,2.2768912972278343,1.900769381732914
2007-09-01,1.4787706399815193,-0.25841499692162984
2007-12-01,2.300074688648701,0.47213461891502106
2008-03-01,3.373049549885243,-0.1658181681346349
2008-06-01,2.4833328152483958,0.36541223377994925
2008-09-01,0.694084257973504,1.0089819746013973
2008-12-01,-1.074053086300042,2.307366539024436
2009-03-01,-2.5229307458435546,1.1390590660601774
2009-06-01,-4.075762016742512,-0.14830597809858403
2009-09-01,-3.869075982673875,-1.208702995217159
2009-12-01,-3.6468422719391214,-3.170512874984155
2010-03-01,-4.343260825958595,-2.0786855913701885
2010-06-01,-2.0437997620610826,-3.455375921242343
2010-09-01,-0.7758830827545804,-4.940195285279181
2010-12-01,-0.6552223783532263,-3.573288962068588
2011-03-01,-0.5630034729320776,-2.6597408774112097
2011-06-01,-0.20189374737977772,-1.953788937663603
2011-09-01,-0.620707385535102,0.921158001087008
2011-12-01,0.4862169614487044,2.11093167771903
2012-03-01,1.496210864385361,2.740353187560274
2012-06-01,2.3347307671118145,3.6511638726357987
2012-09-01,2.1426214863811133,1.9878881860154962
2012-12-01,1.8039748434929948,1.1358356655041035
2013-03-01,1.714048169749205,1.7371908049801377
2013-06-01,1.741117359454858,3.080892286889103
2013-09-01,1.5573800232755453,3.5237432386349354
2013-12-01,1.0533046481459252,1.1820433406102282
2014-03-01,0.6413843927348672,1.4497667226441635
2014-06-01,0.7567902418929684,0.1956629130484444
2014-09-01,-0.3538820780085494,-0.6650419862884505
2014-12-01,0.06478984097171292,0.37503222010251136
2015-03-01,0.12851956984603063,-0.2805372356840863
2015-06-01,0.46200134935538983,-0.9877256060127237
2015-09-01,-0.4561225043861583,0.45021489263437076
2015-12-01,-0.3756357941076871,1.2367895331454548
2016-03-01,0.2705904492901645,0.3555281131776056
2016-06-01,-0.7385733562216501,-0.2122020231862365
2016-09-01,-0.6062931368485458,0.4852108258248222
2016-12-01,-1.2934958288581377,0.35382436888422575
2017-03-01,-2.377296623292402,0.8724490630372728
2017-06-01,-1.636635914030915,0.380940091485904
2017-09-01,-0.23759054013954284,-0.8302828938667517
2017-12-01,-0.06179749939558832,-2.649038925824243
2018-03-01,0.47697049018182724,-2.401149013335946
2018-06-01,1.3271381740448618,-1.850107393637579
2018-09-01,0.47306675159513034,-1.9420772223519123
2018-12-01,1.2013242120426426,-0.24926003025633747
2019-03-01,0.38673535451936303,0.013514355200605621
2019-06-01,1.082517615781331,0.34041176508132764
2019-09-01,0.7798713139957059,0.6499852305150711
2019-12-01,-3.6760285476947097,1.1386769934500052
