Fecha,Total Hours Worked,Average Hours Worked
1996-03-01,-0.2994645279815633,0.04555273797568482
1996-06-01,0.5874822010602125,0.06020356979119512
1996-09-01,-0.40101223127406094,0.07441844496032246
1996-12-01,0.7532233919199052,0.08812961566784239
1997-03-01,-8.348657043066865e-05,0.10122281252620269
1997-06-01,0.10541836067796373,0.1135286750133524
1997-09-01,1.5700584058222473,0.12481456814188441
1997-12-01,0.6842109928398372,0.13477689121130787
1998-03-01,1.27553023786361,0.1430340240402117
1998-06-01,1.5344014216008266,0.14912010043022228
1998-09-01,0.8299227679688248,0.15247984737105647
1998-12-01,1.0588537003715706,0.15246478115700235
1999-03-01,-3.9834844599607324,-0.480273109590712
1999-06-01,-3.9460459854819767,-0.032163225609638246
1999-09-01,-3.935031519191711,-0.021812496210493748
1999-12-01,-0.6180665771577796,-0.7506554079773409
2000-03-01,1.285323275236185,-0.7079199590045437
2000-06-01,1.8316778914210952,-0.418130125208771
2000-09-01,1.0523115453245948,-1.1735782166244046
2000-12-01,-0.616647843617439,1.3309925442825943
2001-03-01,-4.240984749816254,0.2589608876902183
2001-06-01,-0.93033664299884,0.16328441217003942
2001-09-01,0.9586170740790854,-3.77010636628734
2001-12-01,0.9912455617593801,1.1125558174706285
2002-03-01,1.012644249051076,-1.330068088294567
2002-06-01,0.4034598110241694,1.0761842457660542
2002-09-01,-0.20157096139200847,0.08183981875364843
2002-12-01,0.1402576703576761,1.998093929594269
2003-03-01,0.8739432611104583,-1.0954114159026584
2003-06-01,0.99493296217587,0.6117202763119778
2003-09-01,0.620218522934656,0.48421234589817175
2003-12-01,0.5708462511339247,1.8990293119645063
2004-03-01,0.051281763674907666,0.40564549080750467
2004-06-01,-0.35425608725411806,1.3664547868671661
2004-09-01,0.26666741329729504,1.639901176480052
2004-12-01,0.6259497097014055,1.6219712954213428
2005-03-01,0.5796467737920308,-3.101329962163879
2005-06-01,0.759225448526796,-0.6214118807086777
2005-09-01,0.7337934547398532,-1.4027397523072693
2005-12-01,-0.41607466422591965,0.821051332745526
2006-03-01,-0.08707821377321867,-1.5433847728183459
2006-06-01,-0.5884383248049878,1.3172936193177165
2006-09-01,-0.2965892542162436,0.16663893486090764
2006-12-01,0.24176951792568158,2.0084252628359334
2007-03-01,0.5341471055804252,-1.5284260765583202
2007-06-01,0.8163639377877416,1.3130623534201913
2007-09-01,0.5536645635523207,-2.7296013929302365
2007-12-01,0.6171489524597247,2.1586665881104583
2008-03-01,0.7612020393528534,-2.9384684349603507
2008-06-01,0.9160776746643342,1.802775565034942
2008-09-01,1.16368176788846,-2.0630782698087824
2008-12-01,0.9076193550799627,0.4799181920812856
2009-03-01,-4.662306296250638,-1.948095801005767
2009-06-01,-4.638004344917565,-0.42911267571867917
2009-09-01,-4.657292216177622,-1.0758934188547453
2009-12-01,-4.673309231483703,0.7022308427093282
2010-03-01,1.4865578031214053,1.916210615460745
2010-06-01,1.9661189570871915,2.535365176499438
2010-09-01,1.9922620964845277,-1.7163325480601177
2010-12-01,1.5728892987848235,1.2386497266760887
2011-03-01,1.4871874344825429,-0.952779013257743
2011-06-01,1.4629746649491837,1.1713635240627518
2011-09-01,0.907383696727547,-0.5215527494693006
2011-12-01,0.5292181333159682,1.3009546177641163
2012-03-01,0.5001435492915123,-0.5743290081149599
2012-06-01,-0.12347991959056959,0.6758346022084805
2012-09-01,0.24604902707476306,-3.5882542552615693
2012-12-01,0.16659797609612248,2.4112178895121517
2013-03-01,-0.019907238043671782,-2.4898804122551077
2013-06-01,0.27018499676249697,2.6081884522533016
2013-09-01,-0.08410484985052946,-2.5012714868783537
2013-12-01,0.33543623430625225,3.126316006946128
2014-03-01,0.1022689650464299,-3.2125347089151823
2014-06-01,-0.2063957065087676,0.36161523698630127
2014-09-01,-0.619228266894468,-1.9403893644097892
2014-12-01,-0.32636176036709674,2.826740722972243
2015-03-01,-0.6536834513424057,-2.976640077697734
2015-06-01,-0.36689297563520995,2.1694712977077923
2015-09-01,0.41832167460870195,-0.7689914562366784
2015-12-01,0.2527645822338238,2.1229610250386166
2016-03-01,-0.1270807018098674,-2.8268681093449377
2016-06-01,-0.11942206873810068,3.3261252195764257
2016-09-01,-0.6423561946237935,-0.5846224435359648
2016-12-01,-0.7045678801447992,1.1297681467618226
2017-03-01,-0.19801847628055924,-1.7962748976251497
2017-06-01,0.22530812897550145,0.5649835664974567
2017-09-01,0.4271509009160752,-0.20575358634125074
2017-12-01,0.5502636200994377,1.7626007421333245
2018-03-01,0.5229226844823298,-2.191970027999224
2018-06-01,0.3831214555952869,2.8161363361926206
2018-09-01,-0.5642572243908321,-3.3861382158161035
2018-12-01,-0.12645352965333068,3.836184718516389
2019-03-01,-0.38665941876839316,-1.5330336466192307
2019-06-01,-0.059093974365469926,-0.3735463209083356
2019-09-01,0.47943425472644385,-0.3772288546616043
2019-12-01,-0.07333791337697004,-0.38129069263681536
