Fecha,Consumo Duradero CÃ­clico,Consumo No Duradero CÃ­clico
1996-03-01,-5.644871846425126,-0.9957782879899568
1996-06-01,-7.07778402633874,-1.2079075976902942
1996-09-01,-7.737150621638378,-2.502077219099341
1996-12-01,-4.499650248907905,-2.7535732803769974
1997-03-01,-4.331109765335928,-0.8741743167398397
1997-06-01,2.041028658223798,0.04822165037747794
1997-09-01,13.968232877589326,2.0818654830430106
1997-12-01,21.37710353381843,3.609136726515416
1998-03-01,22.836572782833198,4.331959858581058
1998-06-01,25.425724018637652,5.024346082385733
1998-09-01,15.37965152037346,2.674134950753171
1998-12-01,-2.6563108090777554,-0.03581533489711575
1999-03-01,-9.395806060156353,-1.0474417850533158
1999-06-01,-15.966398467537246,-2.473368763440398
1999-09-01,-12.953340072884512,-0.32573081292675
1999-12-01,-6.027640670071577,1.5000221956697146
2000-03-01,-1.8113150961142743,0.6209736881336525
2000-06-01,0.4756998703760118,0.059408873483235425
2000-09-01,0.07966560301690961,0.5624457177987097
2000-12-01,-0.5241329145214024,0.05204033433834354
2001-03-01,-2.9287212749673053,-0.6378588193184598
2001-06-01,-0.4523489928602409,-0.4348284076362674
2001-09-01,-5.462969753856406,-1.0436531243955827
2001-12-01,-6.405518942874089,-1.4089828949549243
2002-03-01,-7.386052080384875,-1.4381247395048646
2002-06-01,-6.967913629962119,-1.5908412542678718
2002-09-01,-5.269277893733282,-1.9575745099759345
2002-12-01,-6.897139759536852,-2.003259968048532
2003-03-01,-7.817494714567896,-2.9251975914810657
2003-06-01,-10.354194385088178,-2.6945241956536137
2003-09-01,-10.962056694487643,-2.2974753986442664
2003-12-01,-8.529881507192538,-1.423000427475607
2004-03-01,-4.198606279341366,-0.32160326461170285
2004-06-01,1.1247834851929817,0.20974811241654123
2004-09-01,-0.06457648894775403,0.7186902337673828
2004-12-01,3.3075467524747992,0.9802475982985115
2005-03-01,0.7297904639887776,0.9275742858905645
2005-06-01,1.6898737925308716,0.6321601614505568
2005-09-01,4.876222019394749,1.5702323738880253
2005-12-01,7.768663667280595,1.550056434518332
2006-03-01,9.404396542751137,1.9879402275080338
2006-06-01,11.59250967892751,2.512470964826896
2006-09-01,11.28669520293375,2.6034391318850325
2006-12-01,11.526786488455443,3.009241976396204
2007-03-01,13.466795440603185,3.367663850318081
2007-06-01,11.659845915957767,2.634650980370523
2007-09-01,9.53298045196398,1.5559050707897981
2007-12-01,13.020806237478766,1.2888288892341393
2008-03-01,11.954084661197317,1.31733384130861
2008-06-01,10.546006672330055,0.9244802348872483
2008-09-01,2.039281317088104,-1.777975135220089
2008-12-01,-9.404747654162726,-2.790243583780594
2009-03-01,-22.206411897135858,-3.9884783729323914
2009-06-01,-27.716352748289008,-8.40624244523056
2009-09-01,-26.524042091258426,-4.873428155904058
2009-12-01,-22.21424231510092,-4.84728431891206
2010-03-01,-17.070793128468154,-4.026830854871477
2010-06-01,-0.46884509555695786,-0.4210615687640029
2010-09-01,-2.966730351243818,-0.25252295751041487
2010-12-01,2.9017097073041676,0.5541201450798283
2011-03-01,6.454664883063188,1.314464913700597
2011-06-01,6.0284844121364145,1.5435057861486357
2011-09-01,5.149100253018268,1.4301263946389753
2011-12-01,4.929027115017526,1.0487713538715582
2012-03-01,7.672668955603967,-0.4017455726256003
2012-06-01,5.656324687311276,2.0368258194036315
2012-09-01,5.850960593424848,2.437058535303116
2012-12-01,6.93072171987783,2.45289127379138
2013-03-01,8.47038707717429,0.7469067629171988
2013-06-01,9.041672371588305,1.0909726376063134
2013-09-01,10.480998516081907,1.1162717198928362
2013-12-01,8.216672059531138,0.992751333912878
2014-03-01,4.503591621915604,1.1611371767838108
2014-06-01,0.09274958481766404,1.0301373766562705
2014-09-01,-6.435595703742436,0.6786308520675632
2014-12-01,-7.132807210884096,0.4584260616754321
2015-03-01,-6.35400938836046,0.6262031031017301
2015-06-01,-6.184323015744031,-0.36186262538517866
2015-09-01,-5.331585145253914,-0.8291744256654354
2015-12-01,-3.8269669835828246,-0.42116654647319507
2016-03-01,-2.703635552076822,-0.3045934351771251
2016-06-01,-7.20584096272141,-1.3485219890828404
2016-09-01,-4.624326745075713,-0.489140782804931
2016-12-01,-2.635020873132099,-0.10319266605733901
2017-03-01,2.8349239275533122,0.02264925807509144
2017-06-01,-0.25784556996519825,-0.052203970793840426
2017-09-01,3.005324967186329,0.8474012238378847
2017-12-01,2.967451548191935,0.8258187758327651
2018-03-01,4.687565826315776,0.9662948955119433
2018-06-01,6.769111725058963,1.1938395524623502
2018-09-01,3.390064764891143,0.14165345572347832
2018-12-01,3.2295465305787197,0.4789719569190609
2019-03-01,0.6950793581251169,-1.1065420645216761
2019-06-01,1.1772976209566188,-0.4067717729968834
2019-09-01,-0.9077825121563521,-0.24618341286632983
2019-12-01,-13.752679544229185,-3.70309164378142
