Fecha,PIB CÃ­clico
1996-03-01,-1.8190922495122663
1996-06-01,-1.7982362070301239
1996-09-01,-1.7742852640749707
1996-12-01,-1.3158376318616938
1997-03-01,-0.03132191424417563
1997-06-01,1.0816482293831697
1997-09-01,2.3837641467687742
1997-12-01,3.5770324482744087
1998-03-01,3.4848792117532668
1998-06-01,4.295302048464089
1998-09-01,2.7678303491971423
1998-12-01,-1.3628204640963926
1999-03-01,-2.1776363304300883
1999-06-01,-2.738749646176064
1999-09-01,-1.4888866040681847
1999-12-01,0.2663676292308903
2000-03-01,0.3530734001058633
2000-06-01,-0.29013538339017764
2000-09-01,0.37579393281803597
2000-12-01,0.6491306993930746
2001-03-01,0.43215180777389506
2001-06-01,0.4643315790849645
2001-09-01,-0.7265883010302066
2001-12-01,-1.0864631241867873
2002-03-01,-1.2649130565125954
2002-06-01,-1.4992082446929178
2002-09-01,-1.4937001779403936
2002-12-01,-1.162761487433439
2003-03-01,-0.8970870717733614
2003-06-01,-1.0216526698840767
2003-09-01,-1.5728226145849344
2003-12-01,-2.268065211361847
2004-03-01,-1.4448719006402655
2004-06-01,-0.8219100390560286
2004-09-01,0.46704465272555673
2004-12-01,0.7726405045777707
2005-03-01,-0.4201432712675146
2005-06-01,-0.07565186629556742
2005-09-01,1.0328639871493461
2005-12-01,0.9489607730015504
2006-03-01,0.5899488346517767
2006-06-01,1.409418667257345
2006-09-01,1.5548913511464146
2006-12-01,2.4921866751888455
2007-03-01,2.371858255544579
2007-06-01,2.2768912972278343
2007-09-01,1.4787706399815193
2007-12-01,2.300074688648701
2008-03-01,3.373049549885243
2008-06-01,2.4833328152483958
2008-09-01,0.694084257973504
2008-12-01,-1.074053086300042
2009-03-01,-2.5229307458435546
2009-06-01,-4.075762016742512
2009-09-01,-3.869075982673875
2009-12-01,-3.6468422719391214
2010-03-01,-4.343260825958595
2010-06-01,-2.0437997620610826
2010-09-01,-0.7758830827545804
2010-12-01,-0.6552223783532263
2011-03-01,-0.5630034729320776
2011-06-01,-0.20189374737977772
2011-09-01,-0.620707385535102
2011-12-01,0.4862169614487044
2012-03-01,1.496210864385361
2012-06-01,2.3347307671118145
2012-09-01,2.1426214863811133
2012-12-01,1.8039748434929948
2013-03-01,1.714048169749205
2013-06-01,1.741117359454858
2013-09-01,1.5573800232755453
2013-12-01,1.0533046481459252
2014-03-01,0.6413843927348672
2014-06-01,0.7567902418929684
2014-09-01,-0.3538820780085494
2014-12-01,0.06478984097171292
2015-03-01,0.12851956984603063
2015-06-01,0.46200134935538983
2015-09-01,-0.4561225043861583
2015-12-01,-0.3756357941076871
2016-03-01,0.2705904492901645
2016-06-01,-0.7385733562216501
2016-09-01,-0.6062931368485458
2016-12-01,-1.2934958288581377
2017-03-01,-2.377296623292402
2017-06-01,-1.636635914030915
2017-09-01,-0.23759054013954284
2017-12-01,-0.06179749939558832
2018-03-01,0.47697049018182724
2018-06-01,1.3271381740448618
2018-09-01,0.47306675159513034
2018-12-01,1.2013242120426426
2019-03-01,0.38673535451936303
2019-06-01,1.082517615781331
2019-09-01,0.7798713139957059
2019-12-01,-3.6760285476947097
